category,solver,apd,time_ms,time_s,display
GKD,BP,0.3232503300102326,15.0,0.015,"0.3233%
(0.01s)"
GKD,GRASP,7.350953748546794e-14,14.0,0.014,"0.0000%
(0.01s)"
GKD,"Hybrid Gurobi
(MaxCut)",0.013554683506955474,310.0,0.31,"0.0136%
(0.31s)"
GKD,"Hybrid Gurobi
(QUBO)",0.004821636517013629,250.0,0.25,"0.0048%
(0.25s)"
GKD,ITS,0.0001317900711716245,1000.0,1.0,"0.0001%
(1.00s)"
GKD,MA,1.2487390192506222e-15,1000.0,1.0,"0.0000%
(1.00s)"
GKD,OBMA,8.798884277722972e-14,1000.0,1.0,"0.0000%
(1.00s)"
MDG,BP,1.7779064196785626,3993.0,3.993,"1.7779%
(3.99s)"
MDG,GRASP,1.4381099660970618,48710.0,48.71,"1.4381%
(48.71s)"
MDG,"Hybrid Gurobi
(MaxCut)",0.2775303251643633,60322.0,60.322,"0.2775%
(60.32s)"
MDG,"Hybrid Gurobi
(QUBO)",0.0016470645233655392,60213.0,60.213,"0.0016%
(60.21s)"
MDG,ITS,0.07387802158161108,60203.0,60.203,"0.0739%
(60.20s)"
MDG,MA,1.8136751885587128,60004.0,60.004,"1.8137%
(60.00s)"
MDG,OBMA,1.2777022019022157,63008.0,63.008,"1.2777%
(63.01s)"
SOM,BP,1.937540165622057,51.5,0.0515,"1.9375%
(0.05s)"
SOM,GRASP,0.1823102912138563,78.0,0.078,"0.1823%
(0.08s)"
SOM,"Hybrid Gurobi
(MaxCut)",0.4964297286479075,232.0,0.232,"0.4964%
(0.23s)"
SOM,"Hybrid Gurobi
(QUBO)",0.0,30561.5,30.5615,"0.0000%
(30.56s)"
SOM,ITS,0.044457003928278165,30500.0,30.5,"0.0445%
(30.50s)"
SOM,MA,0.004637769435994978,30500.0,30.5,"0.0046%
(30.50s)"
SOM,OBMA,0.008748190439132773,30500.5,30.5005,"0.0087%
(30.50s)"
